ranking	app_name	publisher	ranking_type	ranking_change	has_in_app_purchases	report_date
27	Jackpot Party Casino - Slots	Phantom EFX	Grossing	▼1	1	2013-07-06
28	Emoji>	Emoji+	Free	▼1	1	2013-07-06
28	Superimpose	Pankaj Goswami	Paid	▼1	0	2013-07-06
28	Slots - Pharaoh's Way	CERVO MEDIA GMBH	Grossing	▼1	1	2013-07-06
29	Find My iPhone	Apple	Free	=	0	2013-07-06
29	THE GAME OF LIFE Classic Edition	Electronic Arts	Paid	▼3	0	2013-07-06
29	DoubleDown Casino - FREE Slots, Blackjack & Video Poker	Double Down Interactive	Grossing	▲1	1	2013-07-06
30	Cartwheel by Target	Target	Free	▲12	0	2013-07-06
30	Angry Birds Star Wars	Rovio Entertainment Ltd	Paid	▲2	1	2013-07-06
30	DragonVale	Backflip Studios	Grossing	▲1	1	2013-07-06
31	Free Music Download - Mp3 Downloader	ASPS Apps	Free	=	0	2013-07-06
31	MONOPOLY	Electronic Arts	Paid	▼3	0	2013-07-06
31	Puzzle & Dragons (English)	GungHo Online Entertainment, Inc.	Grossing	▲1	1	2013-07-06
32	Spotify	Spotify Ltd.	Free	▲8	0	2013-07-06
32	Pou	Paul Salameh	Paid	▼2	1	2013-07-06
32	Jewel Mania™	TeamLava	Grossing	▲2	1	2013-07-06
33	Gmail - email from Google	Google, Inc.	Free	▲4	0	2013-07-06
33	Wipeout	Activision Publishing, Inc.	Paid	=	1	2013-07-06
33	CSR Racing	NaturalMotion	Grossing	=	1	2013-07-06
34	Slots - Pharaoh's Way	CERVO MEDIA GMBH	Free	▲9	1	2013-07-06
34	Doodle Jump	Lima Sky	Paid	▲2	1	2013-07-06
34	Campus Life™	Pocket Gems, Inc.	Grossing	▲1	1	2013-07-06
35	WhatsApp Messenger	WhatsApp Inc.	Free	▼2	0	2013-07-06
35	rymdkapsel	webbfarbror AB	Paid	▼4	0	2013-07-06
35	The Sims™ FreePlay	Electronic Arts	Grossing	▲1	1	2013-07-06
36	Twitter	Twitter, Inc.	Free	▼2	0	2013-07-06
36	Riptide GP2	Vector Unit	Paid	▼7	1	2013-07-06
36	Rage of Bahamut	Mobage, Inc.	Grossing	▼7	1	2013-07-06
37	Podcasts	Apple	Free	▲1	0	2013-07-06
37	Akinator the Genie	Elokence	Paid	▼3	0	2013-07-06
37	Bingo Bash - Free Bingo Casino	BitRhymes Inc.	Grossing	▲2	1	2013-07-06
38	SpeakToSnooze Pro - Alarm clock with voice control commands to snooze and turn off your alarm!	j labs	Free	▼16	1	2013-07-06
38	Temple Run: Oz	Disney	Paid	=	1	2013-07-06
38	Subway Surfers	Kiloo	Grossing	▲2	1	2013-07-06
39	Skype for iPhone	Skype Communications S.a.r.l	Free	▼3	1	2013-07-06
39	Angry Birds	Rovio Entertainment Ltd	Paid	▲1	1	2013-07-06
39	D.O.T. Defender of Texel (RPG)	Mobage, Inc.	Grossing	▲57	1	2013-07-06
40	Expedia Hotels & Flights	Expedia, Inc.	Free	▲21	0	2013-07-06
40	iTranslate Voice	Sonico GmbH	Paid	▲4	1	2013-07-06
40	Underworld Empire	Phoenix Age, Inc.	Grossing	▼2	1	2013-07-06
41	Game of War - Fire Age	Machine Zone, Inc	Free	▼6	1	2013-07-06
41	Sleep Cycle alarm clock	Maciek Drejak Labs	Paid	▼6	0	2013-07-06
41	Castle Age HD	Phoenix Age, Inc.	Grossing	=	1	2013-07-06
42	The Simpsons™: Tapped Out	Electronic Arts	Free	▼3	1	2013-07-06
42	Split Lens 2 Pro-Clone Yourself in Video/Photo,Make illusion Video/Photo,+Filters&FX!	Loveyouchen	Paid	▲6	0	2013-07-06
42	Bejeweled Blitz	PopCap	Grossing	▲6	1	2013-07-06
43	Sonic Dash	SEGA	Free	▼11	1	2013-07-06
43	TETRIS®	Electronic Arts	Paid	▼6	1	2013-07-06
43	Running with Friends Free	Zynga Inc.	Grossing	▼1	1	2013-07-06
44	Pic Stitch	Big Blue Clip, LLC	Free	=	1	2013-07-06
44	NFL Fantasy Football Cheat Sheet 2013	NFL Enterprises  LLC	Paid	▲11	0	2013-07-06
44	Reign of Dragons	Drecom Co., Ltd.	Grossing	▲37	1	2013-07-06
45	Dumb Ways to Die	Metro Trains Melbourne Pty Ltd	Free	▼4	0	2013-07-06
45	Teenage Mutant Ninja Turtles: Rooftop Run	Nickelodeon	Paid	▼3	1	2013-07-06
45	Kingdom Age	Funzio, Inc	Grossing	▲7	1	2013-07-06
46	4 Little Words	Real Latte	Free	▼16	1	2013-07-06
46	Scribblenauts Remix	Warner Bros.	Paid	▼3	1	2013-07-06
46	War of Nations™	GREE, Inc.	Grossing	▲4	1	2013-07-06
47	Pandora Radio	Pandora Media, Inc.	Free	▼2	1	2013-07-06
47	Cut the Rope: Time Travel	ZeptoLab UK Limited	Paid	▼2	1	2013-07-06
47	Grindr Xtra	Grindr LLC	Grossing	=	1	2013-07-06
48	Facebook Messenger	Facebook, Inc.	Free	=	0	2013-07-06
48	Expedition White Shark	Marine Conservation Science Institute MCSI	Paid	(new)	0	2013-07-06
48	Legend of the Cryptids	Applibot Inc.	Grossing	▼11	1	2013-07-06
49	SpaceEffect - Awesome Pic & Fotos FX Editor FREE	click2mobile	Free	▲1	0	2013-07-06
49	iMovie	Apple	Paid	=	0	2013-07-06
49	Fast & Furious 6: The Game	Kabam	Grossing	▼5	1	2013-07-06
50	LinkedIn	LinkedIn Corporation	Free	▲19	1	2013-07-06
50	Bejeweled	PopCap	Paid	▼3	0	2013-07-06
50	eHarmony	eHarmony, Inc.	Grossing	▼4	1	2013-07-06
51	Perfect365 - Face Makeup Editor, Beauty Enhancer & Fashion Artist	ArcSoft, Inc.	Free	▲12	1	2013-07-06
51	Grand Theft Auto: Vice City	Rockstar Games	Paid	▲6	0	2013-07-06
51	My Singing Monsters	Big Blue Bubble	Grossing	▼8	1	2013-07-06
52	Netflix	Netflix, Inc.	Free	▼6	0	2013-07-06
52	App Icons	Matsvei Tsimashenka	Paid	▲6	0	2013-07-06
52	Real Racing 3	Electronic Arts	Grossing	▼7	1	2013-07-06
53	Pinterest	Pinterest, Inc.	Free	▼1	0	2013-07-06
53	Where's My Water?	Disney	Paid	=	1	2013-07-06
53	GSN Casino	Game Show Network	Grossing	▼4	1	2013-07-06
54	eBay	eBay Inc.	Free	=	0	2013-07-06
54	Block Fortress	Foursaken Media	Paid	▲2	1	2013-07-06
54	Bubble Mania™	TeamLava	Grossing	▼3	1	2013-07-06
55	QR Reader for iPhone	TapMedia Ltd	Free	▲3	1	2013-07-06
