ranking	app_name	publisher	ranking_type	ranking_change	has_in_app_purchases	report_date
115	FIFA SOCCER 13 by EA SPORTS	Electronic Arts	Paid	▲2	1	2013-07-06
115	Virtual Families 2: Our Dream House	Last Day of Work	Grossing	▼2	1	2013-07-06
116	Etsy	Etsy, Inc.	Free	▼1	0	2013-07-06
116	Dude Perfect	Dude Perfect	Paid	▲18	1	2013-07-06
116	iMovie	Apple	Grossing	▼6	0	2013-07-06
117	Tinder	Hatch Labs, Inc.	Free	▼11	0	2013-07-06
117	Asphalt 7: Heat	Gameloft	Paid	▼3	1	2013-07-06
117	Running with Friends	Zynga Inc.	Grossing	▼9	1	2013-07-06
118	RetailMeNot Coupons	RetailMeNot, Inc.	Free	▼16	0	2013-07-06
118	Tiny Thief	Rovio Stars Ltd.	Paid	▼53	0	2013-07-06
118	Vonage Mobile – Voice, Text, and Video	Vonage	Grossing	▼1	1	2013-07-06
119	MP3 Music Downloader Free	WebTechies	Free	▼3	1	2013-07-06
119	Color Splash	Pocket Pixels Inc.	Paid	▲1	0	2013-07-06
119	rymdkapsel	webbfarbror AB	Grossing	▼21	0	2013-07-06
120	Chrome	Google, Inc.	Free	▼2	0	2013-07-06
120	Flick Fishing	Freeverse, Inc.	Paid	▲5	1	2013-07-06
120	Run with Map My Run+ - GPS Running, Jog, Walk, Workout Tracking and Calorie Counter	MapMyFitness	Grossing	▲134	1	2013-07-06
121	The Sims™ FreePlay	Electronic Arts	Free	▼4	1	2013-07-06
121	Aero	Robert Paul Neagu	Paid	(new)	0	2013-07-06
121	Fitness Buddy : 1700+ Exercise Workout Journal	Azumio Inc.	Grossing	▼15	0	2013-07-06
122	Keek	Keek Inc.	Free	▲19	0	2013-07-06
122	All-in Fitness: 1000 Exercises, Workouts, Calorie Counter, BMI-calculator & Social Network	Plus Sports	Paid	▼50	1	2013-07-06
122	Grand Theft Auto: Vice City	Rockstar Games	Grossing	▼6	0	2013-07-06
123	Emoji=) - Free Emoticons, Stickers, Smiley Icons and Fonts for Texts, Texting, Email, MMS, Facebook, Twitter, WhatsApp, Viber, Line, Kik Messages	Tap Nation	Free	▼1	0	2013-07-06
123	Picfx	ActiveDevelopment	Paid	▼11	0	2013-07-06
123	Riptide GP2	Vector Unit	Grossing	▼19	1	2013-07-06
124	Free Music Download - Downloader and Player	Alfadevs	Free	▼5	0	2013-07-06
124	Facetune	Lightricks Ltd.	Paid	▼13	0	2013-07-06
124	三国来了	RedAtoms, Inc.	Grossing	▲13	1	2013-07-06
125	InstaEffect FX - The Best Pic Effect Editor for Instagram FREE	monkeyX	Free	▼5	0	2013-07-06
125	The Night Sky	iCandi Apps	Paid	▼16	1	2013-07-06
125	Bubble Witch Saga	King.com Limited	Grossing	▲2	1	2013-07-06
126	Google+	Google, Inc.	Free	▲4	0	2013-07-06
126	All-in YOGA: 300 Poses & Yoga Classes	Plus Sports	Paid	▼19	0	2013-07-06
126	Fresh Deck Poker	Idle Games, Inc.	Grossing	▼11	1	2013-07-06
127	Yahoo! Mail	Yahoo!	Free	▲11	0	2013-07-06
127	Skins Pro Creator for Minecraft	Craig Kerns	Paid	▲3	1	2013-07-06
127	Spartan Wars: Elite Edition	Tap4Fun	Grossing	▲2	1	2013-07-06
128	What's the Phrase Free	Zynga Inc.	Free	▲3	1	2013-07-06
128	Flow Free: Bridges	Big Duck Games LLC	Paid	▼6	1	2013-07-06
128	AfterLight	Simon Filip	Grossing	▼2	1	2013-07-06
129	Yahoo! Fantasy Sports – Football	Yahoo!	Free	▼4	0	2013-07-06
129	Full Fitness : Exercise Workout Trainer	Mehrdad Mehrain	Paid	▲9	0	2013-07-06
129	Dice With Buddies	Scopely - Top Free Apps and Games LLC	Grossing	▼4	1	2013-07-06
130	Flow Free	Big Duck Games LLC	Free	▼7	1	2013-07-06
130	Kingdom Rush	Armor Games Inc	Paid	▲3	1	2013-07-06
130	World Series of Poker	Electronic Arts	Grossing	▲1	1	2013-07-06
131	Nail Makeover - girls games	George CL	Free	▼32	1	2013-07-06
131	8 Ball Pool™	Miniclip.com	Paid	▲5	1	2013-07-06
131	Badoo - Meet New People, Chat, Socialize	Badoo Software Ltd	Grossing	▲13	1	2013-07-06
132	WowLikes	Natrobit S.r.l.	Free	▲1	1	2013-07-06
132	Pimp Your Sound – Download Ringtones, Create Unlimited Ring Tones with Free Ringtone Maker	Apalon	Paid	▼3	0	2013-07-06
132	Flow Free	Big Duck Games LLC	Grossing	▲1	1	2013-07-06
133	Chase Mobile (SM)	JPMorgan Chase & Co.	Free	▲15	0	2013-07-06
133	The Impossible Game	FlukeDude Ltd	Paid	▼7	1	2013-07-06
133	Dragons of Atlantis: Heirs of the Dragon	Kabam	Grossing	▼5	1	2013-07-06
134	Empire: Four Kingdoms	Goodgame Studios	Free	▼22	1	2013-07-06
134	Bike Race Pro	Top Free Games	Paid	▲5	1	2013-07-06
134	Expedition White Shark	Marine Conservation Science Institute MCSI	Grossing	(new)	0	2013-07-06
135	Zagat	Google, Inc.	Free	(new)	0	2013-07-06
135	Star Walk™ - 5 Stars Astronomy Guide	Vito Technology Inc.	Paid	▼17	0	2013-07-06
135	GolfLogix #1 Free Golf GPS + Scorecard: Golf Digest,  GolfNow  Tee Times	GolfLogix, Inc.	Grossing	▼17	1	2013-07-06
136	InstaFollow For Instagram - Followers and Unfollowers Tracker for iPhone, iPad and iPod	NoApostroph3s LLC	Free	▲1	1	2013-07-06
136	Minecraft Seeds Pro	JN Interactive AB	Paid	▼5	1	2013-07-06
136	Where's My Mickey?	Disney	Grossing	▼12	1	2013-07-06
137	InstaEyes - Blend Yr Face to Ultra Awesome Tiger or Cat Eyes Splits!	Applause PTY LTD	Free	▲2	1	2013-07-06
137	Angry Birds Seasons	Rovio Entertainment Ltd	Paid	▲6	1	2013-07-06
137	Ultimate Guitar Tabs - largest catalog of songs with guitar chords, tabs and lyrics	Ultimate Guitar	Grossing	▲2	1	2013-07-06
138	Target	Target	Free	▼6	0	2013-07-06
138	Zombies, Run!	Six to Start	Paid	▲19	1	2013-07-06
138	Lucky Slots - Free Vegas Casino Slot Machine - Bonus Slot Games and Lucky Machines	Blue Shell Games, LLC	Grossing	▲2	1	2013-07-06
139	Apple Store	Apple	Free	▼13	0	2013-07-06
139	Masquer - Smart Image Blender	ArcSoft, Inc.	Paid	▼15	0	2013-07-06
139	Tetris® Blitz	Electronic Arts	Grossing	▲32	1	2013-07-06
140	ooVoo Video Call, Text and Voice	ooVoo LLC	Free	▼4	0	2013-07-06
140	Emoji New Style Pro – My Emoticon Catalog	Emoji Icons Free and Color Texting Messages Pro Studio	Paid	▲6	0	2013-07-06
140	Kingdoms of Zenia: Dragon Wars	Rocket Sprocket, LLC	Grossing	▲62	1	2013-07-06
141	ABC Family	ABC Family	Free	▲45	0	2013-07-06
141	SCRABBLE	Electronic Arts	Paid	▲3	0	2013-07-06
141	BUNT: The Exclusive MLB Digital Baseball Trading Card Game	The Topps Company, Inc.	Grossing	▼20	1	2013-07-06
142	Framatic - Magic Photo Collage + Picture Border + Pic Stitch for Instagram FREE	Lotogram	Free	▲3	1	2013-07-06
142	Food Network In the Kitchen	Television Food Network G.P.	Paid	▼7	0	2013-07-06
142	NFL Matchups	Mobage, Inc.	Grossing	▲13	1	2013-07-06
143	Bank of America - Mobile Banking	Bank of America	Free	▲17	0	2013-07-06
143	Landcam	Simple Simple	Paid	▼11	0	2013-07-06
143	SpongeBob Moves In	Nickelodeon	Grossing	▼24	1	2013-07-06
144	My Singing Monsters	Big Blue Bubble	Free	▼1	1	2013-07-06
144	Ridiculous Fishing - A Tale of Redemption	Vlambeer	Paid	▼17	0	2013-07-06
144	Battle Nations	Z2Live, Inc	Grossing	▼1	1	2013-07-06
145	The Drowning	Mobage, Inc.	Free	▲4	1	2013-07-06
145	A Ride into the Mountains	Lee-Kuo Chen	Paid	▲3	0	2013-07-06
145	Marvel Comics	Marvel Entertainment	Grossing	▼36	1	2013-07-06
146	ProTuber - Best Player for YouTube & Free Stream Vevo, Vimeo, TV, Video & Music & Watch Live Streaming with Custom Quality, Manage MP3 Song Playlist and Media Files & Folder Manager	The Paradise	Free	▼22	1	2013-07-06
146	JEOPARDY! Platinum	Sony Pictures Television	Paid	▲19	1	2013-07-06
146	Deity Wars	Mobage, Inc.	Grossing	▲217	1	2013-07-06
147	Animal Dentist	Ninjafish Studios	Free	▲14	1	2013-07-06
147	Joe Danger	Hello Games	Paid	▲3	1	2013-07-06
147	4 Pics 1 Word	LOTUM GmbH	Grossing	▼6	1	2013-07-06
148	Jetpack Joyride	Halfbrick Studios	Free	▲3	1	2013-07-06
148	SpotiFinder for Spotify (Premium)	Media Products	Paid	▲32	0	2013-07-06
148	Infinity Blade II	Chair Entertainment Group, LLC	Grossing	▼2	1	2013-07-06
149	cPRO craigslist client for iPhone and iPod	Escargot Studios, LLC	Free	▼9	0	2013-07-06
149	Yesterday	Bulkypix	Paid	(new)	0	2013-07-06
149	Dropbox	Dropbox	Grossing	▲14	1	2013-07-06
150	RunKeeper - GPS Track Running Walking Cycling	FitnessKeeper, Inc.	Free	▲16	1	2013-07-06
150	LIMBO Game	Playdead	Paid	▼10	0	2013-07-06
150	Golfshot: Golf GPS	Shotzoom Software	Grossing	▼14	1	2013-07-06
151	Injustice: Gods Among Us	Warner Bros.	Free	▲4	1	2013-07-06
151	Fast Camera	i4software	Paid	=	1	2013-07-06
151	Gravity Falls Mystery Shack Attack	Disney	Grossing	▼17	0	2013-07-06
152	Print Utility	Darsoft Inc.	Free	(new)	0	2013-07-06
152	Call of Duty: Zombies	Activision Publishing, Inc.	Paid	▼3	1	2013-07-06
152	Dark Summoner	Ateam Inc.	Grossing	▼2	1	2013-07-06
153	CSR Racing	NaturalMotion	Free	▲9	1	2013-07-06
153	The Price is Right™ Decades	Ludia	Paid	▲261	0	2013-07-06
153	My Muppets Show	Disney	Grossing	▲6	1	2013-07-06
154	VSCO Cam™	Visual Supply Company	Free	▼1	1	2013-07-06
154	Pages	Apple	Paid	▲10	0	2013-07-06
154	Free Music Download Pro - Downloader and Player	Alfadevs	Grossing	▼9	0	2013-07-06
155	Bike Race Free by Top Free Games	Top Free Games	Free	▲1	1	2013-07-06
155	The Sims 3 Ambitions	Electronic Arts	Paid	▼2	0	2013-07-06
155	DC Comics	DC Entertainment	Grossing	▲10	1	2013-07-06
156	Jotter (Handwriting Notepad)	groosoft	Free	(new)	1	2013-07-06
156	Wheel of Fortune	Sony Pictures Television	Paid	▼15	1	2013-07-06
156	Age of Chaos	LVL6, Inc	Grossing	▲85	1	2013-07-06
157	Voxer Walkie-Talkie PTT	Voxer LLC	Free	▲19	1	2013-07-06
157	Monogram (Custom Wallpaper)	George Liang	Paid	▲26	0	2013-07-06
157	Free Music Download Pro - Mp3 Downloader	ASPS Apps	Grossing	▼9	0	2013-07-06
158	Foot Spa - Kids games	George CL	Free	▲10	1	2013-07-06
158	The Sims 3	Electronic Arts	Paid	▲12	1	2013-07-06
158	Pou	Paul Salameh	Grossing	▼9	1	2013-07-06
159	Flashlight for iPhone , iPod and iPad	Giorgi Otiashvili	Free	▼9	1	2013-07-06
159	Where's My Perry?	Disney	Paid	▲1	1	2013-07-06
159	Rivals at War: 2084	Hothead Games Inc.	Grossing	▼29	1	2013-07-06
160	Tetris® Blitz	Electronic Arts	Free	▼6	1	2013-07-06
160	Message Designer	Tap Nation	Paid	▲18	0	2013-07-06
160	Bad Piggies	Rovio Entertainment Ltd	Grossing	▼2	1	2013-07-06
161	Google Search	Google, Inc.	Free	▲3	0	2013-07-06
161	What The Riddle?	Rainy Day App	Paid	=	1	2013-07-06
161	POF - Free Online Dating	PlentyOfFish	Grossing	▼19	1	2013-07-06
162	YouTube Capture	Google, Inc.	Free	▼4	0	2013-07-06
162	Breach & Clear	Gun.	Paid	=	1	2013-07-06
162	Plants vs. Zombies	PopCap	Grossing	▼1	1	2013-07-06
163	PicsArt Photo Studio	PicsArt	Free	▲2	1	2013-07-06
163	Word Crush™	8th Planet Games	Paid	▼8	1	2013-07-06
163	Angry Birds Rio	Rovio Entertainment Ltd	Grossing	▼1	1	2013-07-06
164	PayPal	PayPal, an eBay Company	Free	▲14	0	2013-07-06
164	DeluxeFX	Pictuts	Paid	▲17	0	2013-07-06
164	Hill Climb Racing	Fingersoft	Grossing	▼12	1	2013-07-06
165	iFunny :)	Okrujnost'	Free	▼6	0	2013-07-06
165	Dora's Great Big World	Nickelodeon	Paid	▲22	0	2013-07-06
165	Restaurant Story	TeamLava	Grossing	▼12	1	2013-07-06
166	Kindle – Read Books, eBooks, Magazines, Newspapers & Textbooks	AMZN Mobile LLC	Free	▲9	0	2013-07-06
166	Best Park In the Universe - Regular Show	Cartoon Network	Paid	▼12	0	2013-07-06
166	Call of Duty: Black Ops Zombies	Activision Publishing, Inc.	Grossing	▼9	1	2013-07-06
167	Google Translate	Google, Inc.	Free	▲17	0	2013-07-06
167	ShapeThat	Dragan Savic	Paid	▲67	1	2013-07-06
167	Big Win MLB	Hothead Games Inc.	Grossing	▲14	1	2013-07-06
168	CamFind - Point, Shoot and Discover	Image Searcher	Free	▲1	0	2013-07-06
168	Level It Books	KTL Apps	Paid	▲55	1	2013-07-06
168	LinkedIn	LinkedIn Corporation	Grossing	▲27	1	2013-07-06
169	theCHIVE - Probably the Best App in the World	Resignation Media, LLC	Free	▼2	0	2013-07-06
169	Dark Sky - Weather Radar, Hyperlocal Forecasts, and Storm Alerts	Jackadam	Paid	▲31	0	2013-07-06
169	G.I. JOE: BATTLEGROUND	Mobage, Inc.	Grossing	▲52	1	2013-07-06
170	Hangouts	Google, Inc.	Free	▲22	0	2013-07-06
170	Word Rush™	Palm Desert Studios	Paid	▼3	1	2013-07-06
170	iTheme - Themes for iPhone, iPad and iPod Touch	novitap GmbH	Grossing	▼10	1	2013-07-06
171	Princess Hair Salon - Girls games	George CL	Free	▼29	1	2013-07-06
171	Infinite Flight - Flight Simulator	Flying Development Studio LLC	Paid	▼5	1	2013-07-06
171	Bakery Story	TeamLava	Grossing	▼4	1	2013-07-06
172	Yahoo! Weather	Yahoo!	Free	▲40	0	2013-07-06
172	Pic The Word - Find The Common Word	Rainy Day App	Paid	▼3	1	2013-07-06
172	Colormania - Guess the Colors	Genera Mobile	Grossing	▼16	1	2013-07-06
173	My Verizon Mobile	Verizon Wireless IT	Free	▲12	0	2013-07-06
173	Sleep Talk Recorder	MadInSweden	Paid	(new)	1	2013-07-06
173	Slots™ - Titan's Way	TOPGAME	Grossing	=	1	2013-07-06
174	Job Search	Indeed.com	Free	▲42	0	2013-07-06
174	Doc McStuffins:  Time For Your Check Up!	Disney	Paid	▼3	0	2013-07-06
174	Pages	Apple	Grossing	▼6	0	2013-07-06
175	City Girl Makeover	Ninjafish Studios	Free	▼1	1	2013-07-06
175	Dropchord	Double Fine Productions, Inc.	Paid	▼23	0	2013-07-06
175	Bingo Rush by Buffalo Studios	Buffalo Studios	Grossing	=	1	2013-07-06
176	T-shirt design - Snaptee	Snaptee Limited	Free	▲60	0	2013-07-06
176	What's the Phrase	Zynga Inc.	Paid	▼8	1	2013-07-06
176	SplashID Safe Password Manager	SplashData	Grossing	▲185	1	2013-07-06
177	Word Search Puzzles	IceMochi	Free	▼83	1	2013-07-06
177	5K Runner: 0 to 5K run training	Clear Sky Apps LTD	Paid	▲11	0	2013-07-06
177	Kick the Buddy: Second Kick	Crustalli	Grossing	▼8	1	2013-07-06
178	GroupMe™	Mindless Dribble Inc.	Free	▲22	0	2013-07-06
178	What's Behind? - Swipe and Guess!	Palm Desert Studios	Paid	▼4	1	2013-07-06
178	GarageBand	Apple	Grossing	▼14	0	2013-07-06
179	Ringtones 500.000+	DYSoftware	Free	▲1	1	2013-07-06
179	Runtastic PRO GPS Running, Walking & Fitness Tracker	runtastic	Paid	▼2	1	2013-07-06
179	NFL Fantasy Football Cheat Sheet 2013	NFL Enterprises  LLC	Grossing	▲6	0	2013-07-06
180	MLB Ballpark Empire	MLB.com	Free	(new)	1	2013-07-06
180	3 Pics	Gummy Crush	Paid	▼8	1	2013-07-06
180	Mini Golf MatchUp	Scopely - Top Free Apps and Games LLC	Grossing	▼8	1	2013-07-06
181	UNO ™ & Friends – The Classic Card Game Goes Social!	Gameloft	Free	▼8	1	2013-07-06
181	Pic What?!	Real Latte	Paid	▼8	1	2013-07-06
181	WowLikes	Natrobit S.r.l.	Grossing	▼1	1	2013-07-06
182	Ninja Kid Run by Fun Games For Free	Fun Games For Free	Free	▼5	1	2013-07-06
182	Clear Vision (17+)	FDG Entertainment	Paid	▼7	0	2013-07-06
182	Angry Birds	Rovio Entertainment Ltd	Grossing	▼5	1	2013-07-06
183	Little Girl Salon	Libii Tech Limited	Free	▼12	1	2013-07-06
183	MONOPOLY Here & Now: The World Edition	Electronic Arts	Paid	▼7	0	2013-07-06
183	Frontline Commando: D-Day	Glu Games Inc.	Grossing	▼13	1	2013-07-06
184	Walmart	Walmart	Free	▲10	0	2013-07-06
184	Kingdoms Fall	Last Life Games LLC	Paid	(new)	0	2013-07-06
184	Fairway Solitaire – A Cartoon Card Game of Golf & Gopher!	Big Fish Games, Inc	Grossing	▼8	1	2013-07-06
185	CocoPPa - Japan Kawaii (cute) icons&homescreen	SPiRE, Inc.	Free	▼15	0	2013-07-06
185	iBlacklist - Block Unwanted Calls	Max Kub	Paid	▲12	0	2013-07-06
185	Ancestry	Ancestry.com	Grossing	▲33	1	2013-07-06
186	Wells Fargo Mobile	Wells Fargo	Free	▲24	0	2013-07-06
186	Dictionary.com Dictionary & Thesaurus Premium	Dictionary.com, LLC	Paid	▲23	1	2013-07-06
186	NFL Shuffle 2013	GREE, Inc.	Grossing	▲171	1	2013-07-06
187	Robot Unicorn Attack 2	[adult swim]	Free	▼8	1	2013-07-06
187	iPhoto	Apple	Paid	▼24	0	2013-07-06
187	Texas Holdem Poker	GeaxGame Inc	Grossing	▼3	1	2013-07-06
188	Fandango Movies – Times & Tickets	Fandango	Free	=	0	2013-07-06
188	Phase 10	Magmic Inc.	Paid	▼4	1	2013-07-06
188	Wipeout	Activision Publishing, Inc.	Grossing	▼10	1	2013-07-06
189	Booking.com Hotel reservations for 330,000+ hotels	Booking.com	Free	▲1	0	2013-07-06
189	myWOD — All-in-One WOD Log for XF Workouts (NOT AFFILIATED WITH CrossFit Inc)	theDreamWorkshop	Paid	▲21	0	2013-07-06
189	Contract Killer 2	Glu Games Inc.	Grossing	▼23	1	2013-07-06
190	Fly Delta	Delta Air Lines, Inc.	Free	▲11	0	2013-07-06
190	Farming Simulator 2012	astragon Software GmbH	Paid	▲8	1	2013-07-06
190	Grand Theft Auto III	Rockstar Games	Grossing	▼7	0	2013-07-06
191	Real Racing 3	Electronic Arts	Free	▼9	1	2013-07-06
191	Sky Guide: View Stars Night or Day	Fifth Star Labs LLC	Paid	▼33	1	2013-07-06
191	Pimp Your Screen	Apalon	Grossing	▲6	1	2013-07-06
192	Bible	LifeChurch.tv	Free	▼57	0	2013-07-06
192	Scanner Pro by Readdle	Readdle	Paid	▼88	1	2013-07-06
192	Airport City	Game Insight, LLC	Grossing	▲34	1	2013-07-06
193	Bejeweled Blitz	PopCap	Free	▼2	1	2013-07-06
193	SkyDroid - Golf GPS	Goldstein Technologies LLC	Paid	▼4	0	2013-07-06
193	textPlus Free Text + Calls : Free Texting + Free Phone Calling + Free International Messenger	textPlus, Inc.	Grossing	▼6	1	2013-07-06
194	Squaready - Instagram layouter	FANG Inc.	Free	▼7	0	2013-07-06
194	Mickey Mouse Clubhouse Paint & Play	Disney	Paid	▼35	0	2013-07-06
194	Golf Star™	Com2uS USA, Inc.	Grossing	▲20	1	2013-07-06
195	ZEDGE™ Wallpapers	ZEDGE	Free	▲11	0	2013-07-06
195	Stickman Base Jumper	Robert Szeleney	Paid	▲13	1	2013-07-06
195	Cut the Rope	Chillingo Ltd	Grossing	▼1	1	2013-07-06
196	Private Photo Vault - Ultimate Photo+Video Manager	William Sidell	Free	▼1	1	2013-07-06
196	This American Life	Public Radio Exchange (PRX)	Paid	▼2	0	2013-07-06
196	Bingo Pop	Uken Games	Grossing	▼22	1	2013-07-06
197	Cheat For Candy Crush Saga	ZZL Technology	Free	▼53	0	2013-07-06
197	Printer Pro for iPhone - wirelessly print documents, photos, web pages and emails	Readdle	Paid	▼98	0	2013-07-06
197	Gone Fishing	Drimmi LLC	Grossing	▼1	1	2013-07-06
198	4 Pics 1 Word	LOTUM GmbH	Free	▲4	1	2013-07-06
198	Simply HDR	JixiPix Software	Paid	▼12	0	2013-07-06
198	Pic Stitch	Big Blue Clip, LLC	Grossing	▼9	1	2013-07-06
199	RedLaser – Barcode Scanner, Shopping Assistant & QR Code Reader	eBay Inc.	Free	▲19	0	2013-07-06
199	Stack the States™	Dan Russell-Pinson	Paid	▲8	0	2013-07-06
199	NYTimes Crosswords	Magmic Inc.	Grossing	▲12	1	2013-07-06
200	FX Photo Studio: pro effects & filters, fast camera plus photo editor	MacPhun LLC	Free	▼19	1	2013-07-06
200	Caveman Feast - Paleo recipes	Fat-Burning Man	Paid	▼18	0	2013-07-06
200	Toca Hair Salon 2	Toca Boca AB	Grossing	▼9	0	2013-07-06
201	Secret Passages: Hidden Objects	Pocket Gems, Inc.	Free	▼18	1	2013-07-06
201	Tips & Tricks - iPhone Secrets	Intelligenti Ltd	Paid	▼5	0	2013-07-06
201	MY LITTLE PONY - Friendship is Magic	Gameloft	Grossing	▼22	1	2013-07-06
202	Solitaire	MobilityWare	Free	▼4	0	2013-07-06
202	Scramble With Friends	Zynga Inc.	Paid	▲104	1	2013-07-06
202	iMPC for iPhone	Akai Professional	Grossing	▼20	0	2013-07-06
203	Puzzle & Dragons (English)	GungHo Online Entertainment, Inc.	Free	=	1	2013-07-06
203	Vintique	GMY Studio	Paid	▲46	1	2013-07-06
203	HellFire	Mobage, Inc.	Grossing	=	1	2013-07-06
204	Hill Climb Racing	Fingersoft	Free	▲5	1	2013-07-06
204	Elmo Calls	Sesame Street	Paid	▲37	1	2013-07-06
204	Head Soccer	D&D Dream Corp.	Grossing	▲25	1	2013-07-06
205	MinoMonsters	MinoMonsters, Inc.	Free	▲18	1	2013-07-06
205	Calorie Counter PRO by MyNetDiary	MyNetDiary Inc.	Paid	▼15	0	2013-07-06
205	HowAboutWe Dating – Find Singles & Go On Dates Free	HowAboutWe	Grossing	▲11	1	2013-07-06
206	Angry Birds Rio	Rovio Entertainment Ltd	Free	▲9	1	2013-07-06
206	Mextures	MEREK DAVIS COM, LLC	Paid	▼1	0	2013-07-06
206	Walking Dead: The Game	Telltale Inc	Grossing	▼20	1	2013-07-06
207	CBS	CBS Interactive	Free	▲15	0	2013-07-06
207	Rope'n'Fly 3 - From Dusk Till Dawn	Robert Szeleney	Paid	▲6	1	2013-07-06
207	9 Innings: 2013 Pro Baseball	Com2uS USA, Inc.	Grossing	▲8	1	2013-07-06
208	Scan - QR Code and Barcode Reader	QR Code City	Free	▲26	0	2013-07-06
208	Real Steel	Reliance Big Entertainment UK Private Ltd	Paid	▼16	1	2013-07-06
208	Family Feud® & Friends	Ludia	Grossing	▼4	1	2013-07-06
209	Words With Friends Free	Zynga Inc.	Free	▼10	1	2013-07-06
209	Radar Cast Pro - NOAA Hi-Def FutureCast, Push Notifications, Lightning Strikes & Weather	WeatherSphere	Paid	▲26	1	2013-07-06
209	Fruit Mania™	TeamLava	Grossing	▼16	1	2013-07-06
210	NFL Mobile	NFL Enterprises  LLC	Free	▼47	1	2013-07-06
210	Mine Run 3D - Pocket Block Escape Game with skins maker for character & minecraft (PC edition) 2 in 1!	Alex Krasnov	Paid	▼68	1	2013-07-06
210	Sonic Dash	SEGA	Grossing	▲20	1	2013-07-06
211	Text Free with Textfree: SMS with a Real Phone Number	Pinger, Inc.	Free	▲9	1	2013-07-06
211	My Followers On Instagram	Apprizon LLC	Paid	▼18	1	2013-07-06
211	Total Domination - Reborn	Plarium Global Ltd	Grossing	▲1	1	2013-07-06
212	Capital One Mobile	Capital One	Free	▲13	0	2013-07-06
212	Monkey Preschool Lunchbox	THUP Games	Paid	▼13	0	2013-07-06
212	Texas HoldEm Poker Deluxe	Sky Union LLC	Grossing	▲81	1	2013-07-06
213	Fruit Ninja Free	Halfbrick Studios	Free	▼5	1	2013-07-06
213	Papa's Burgeria To Go!	Flipline Studios	Paid	▼2	0	2013-07-06
213	LINE	NAVER Japan Corporation	Grossing	▼13	1	2013-07-06
214	Photo Editor-	Axiem Systems	Free	▼9	1	2013-07-06
214	Rock Bandits - Adventure Time	Cartoon Network	Paid	▼11	0	2013-07-06
214	RotoWire Fantasy Football Draft Kit 2013	Roto Sports, Inc.	Grossing	▲5	0	2013-07-06
215	PicLab - Photo Editor	Adamo Creative	Free	▼4	1	2013-07-06
215	Levitagram - Levitation Photography for Dummies!	LOCQL, Inc.	Paid	▼36	0	2013-07-06
215	Marine&Lakes: USA	Navionics	Grossing	▼17	1	2013-07-06
216	Duolingo - Learn Languages for Free	Duolingo	Free	▲14	0	2013-07-06
216	iStudiez Pro	iStudiez Team	Paid	▼2	0	2013-07-06
216	Order & Chaos© Online	Gameloft	Grossing	▼69	1	2013-07-06
217	Campus Life™	Pocket Gems, Inc.	Free	=	1	2013-07-06
217	A Beautiful Mess +	Kim Tools	Paid	▼11	0	2013-07-06
217	Arcane Empires	Kabam	Grossing	▲36	1	2013-07-06
218	Whitagram - white background for instagram	Undefined Unit	Free	▼14	1	2013-07-06
218	Instant Heart Rate - Heart Rate Monitor by Azumio	Azumio Inc.	Paid	▼27	1	2013-07-06
218	Need for Speed™ Most Wanted	Electronic Arts	Grossing	▼9	1	2013-07-06
219	Wedding Salon - girls games	George CL	Free	▼85	1	2013-07-06
219	Pivvot	Whitaker Trebella	Paid	▼34	0	2013-07-06
219	Lose It!	FitNow	Grossing	▲25	1	2013-07-06
220	Hulu Plus	Hulu, LLC	Free	▼13	0	2013-07-06
220	Ultimate Mortal Kombat™ 3	Electronic Arts	Paid	▼18	0	2013-07-06
220	Disney Junior Appisodes	Disney	Grossing	▼7	1	2013-07-06
221	Airport City	Game Insight, LLC	Free	(new)	1	2013-07-06
221	Pudding Monsters	ZeptoLab UK Limited	Paid	▲8	1	2013-07-06
221	Contra: Evolution	PunchBox Studios	Grossing	▼29	1	2013-07-06
222	天天爱消除	Shenzhen Tencent Computer Systems Company Limited	Free	▲17	1	2013-07-06
222	LEGO Batman: DC Super Heroes	Warner Bros.	Paid	▼21	1	2013-07-06
222	Stardom: Hollywood	Glu Games Inc.	Grossing	▲81	1	2013-07-06
223	AMBER Alert	Jonathan Zdziarski	Free	(new)	0	2013-07-06
223	Paleo Central	Nerd Fitness	Paid	▼4	0	2013-07-06
223	Weather Kitty	CREATIVE SHARK SOFTWARE INC.	Grossing	▼88	1	2013-07-06
224	The DailyHoroscope	Max Binshtok	Free	▼3	0	2013-07-06
224	Grindr Xtra	Grindr LLC	Paid	▲67	1	2013-07-06
224	Panda Jam	SGN	Grossing	▼23	1	2013-07-06
225	Text Me! 2 - Free Texting + Free Phone Calls + Free Video Call	TextMe, Inc.	Free	▲4	1	2013-07-06
225	Block Earth	ChooFun Games	Paid	▼9	1	2013-07-06
225	Video Star	Frontier Design Group	Grossing	▼5	1	2013-07-06
226	KAYAK	kayak.com	Free	▲34	0	2013-07-06
226	NBA 2K13	2K Sports	Paid	▼81	1	2013-07-06
226	Temple Run: Oz	Disney	Grossing	▼18	1	2013-07-06
227	Fast & Furious 6: The Game	Kabam	Free	▲1	1	2013-07-06
227	Yoga Studio	Modern Lotus	Paid	▼7	0	2013-07-06
227	Akinator the Genie	Elokence	Grossing	▼17	0	2013-07-06
228	MyRadar Weather Radar	Aviation Data Systems, Inc	Free	▲70	1	2013-07-06
